SYMBOL,OPEN,HIGH,LOW,CLOSE,PREVCLOSE,RSI
BSHSL,130.0,130.0,130.0,130.0,127.0,0.0
BSL,42.9,44.0,42.8,43.75,43.25,43.54838709677422
BSLGOLDETF,3018.0,3018.0,2961.0,2963.75,2961.0,58.5489146595302
BSLNIFTY,116.5,116.5,114.3,114.48,115.52,53.865336658354316
BURNPUR,4.1,4.1,3.95,4.0,4.05,0.0
BUTTERFLY,259.0,271.95,255.0,262.85,257.1,55.01156515034697
BVCL,16.8,16.8,16.6,16.6,16.8,0.0
BYKE,65.15,65.35,64.4,64.95,65.05,45.736434108527156
CADILAHC,345.0,345.0,339.0,344.2,343.65,40.59829059829044
CALSOFT,21.3,21.95,20.0,21.35,20.95,0.0
CAMLINFINE,52.85,53.6,52.3,52.8,52.8,0.0
CANBK,278.0,285.5,274.2,282.95,276.3,58.22222222222207
CANDC,29.4,29.4,27.5,27.95,28.0,56.989247311827945
CANFINHOME,277.25,281.75,273.75,280.5,276.9,18.701298701298768
CANTABIL,125.5,128.4,125.5,127.9,127.5,0.0
CAPACITE,248.2,248.8,245.0,245.55,248.9,17.88079470198673
CAPLIPOINT,378.1,382.0,378.1,380.2,381.9,0.0
CAPTRUST,188.6,196.75,188.6,190.6,197.4,30.324074074074034
CARBORUNIV,360.1,367.95,360.1,366.0,364.45,71.2765957446811
CAREERP,77.05,79.55,76.2,76.7,78.45,31.818181818181912
CARERATING,979.95,986.6,974.0,976.2,979.95,46.01226993865046
CASTEXTECH,1.2,1.25,1.15,1.15,1.2,0.0
CASTROLIND,146.9,149.4,146.2,148.25,146.9,21.428571428571402
CCCL,2.25,2.45,2.25,2.35,2.35,0.0
CCHHL,7.55,7.7,7.4,7.65,7.55,0.0
CCL,269.75,271.95,269.25,270.8,270.3,0.0
CDSL,231.05,232.0,227.0,229.35,230.35,87.551867219917
CEATLTD,1290.0,1314.5,1268.8,1309.55,1288.3,60.13215859030835
CEBBCO,25.1,27.2,25.0,27.2,25.95,55.55555555555557
CELEBRITY,9.3,9.45,9.3,9.3,9.45,0.0
CELESTIAL,8.5,8.7,8.25,8.3,8.45,0.0
CENTENKA,261.05,263.15,258.0,259.1,260.65,13.186813186813112
CENTEXT,7.45,7.45,7.05,7.35,7.3,0.0
CENTRALBK,36.95,36.95,35.55,35.75,36.95,0.0
CENTRUM,36.0,36.25,35.25,35.45,35.8,47.142857142857196
CENTUM,342.05,342.05,335.0,335.65,340.05,41.269841269841265
CENTURYPLY,172.0,174.95,169.0,171.3,171.65,0.0
CENTURYTEX,903.6,912.0,884.5,908.35,898.15,36.49167733674789
CERA,2389.9,2495.0,2358.1,2465.4,2378.3,86.98099929627023
CEREBRAINT,29.35,30.0,29.3,29.65,29.05,48.611111111111185
CES1RPG,9.26,9.26,9.1,9.19,9.32,0.0
CESC,655.85,662.0,647.05,656.45,653.7,19.191919191919084
CGCL,131.1,133.7,129.6,132.15,131.5,61.90476190476188
CGPOWER,43.4,44.55,43.1,44.3,43.35,0.0
CHAMBLFERT,150.55,156.0,150.0,155.25,151.85,71.10389610389619
CHEMFAB,157.5,161.25,151.25,151.6,156.2,37.17105263157889
CHENNPETRO,280.2,291.0,278.95,288.3,281.35,47.48700173310227
CHOLAFIN,1200.0,1226.45,1192.0,1207.6,1200.45,25.189393939393767
CHROMATIC,0.95,1.0,0.95,1.0,0.95,0.0
CIGNITITEC,377.05,379.5,370.0,375.65,373.4,73.95061728395066
CIMMCO,39.6,40.35,38.1,39.6,39.3,34.81481481481484
CINELINE,47.45,48.5,47.45,47.8,48.5,0.0
CINEVISTA,6.0,6.35,6.0,6.15,6.2,0.0
CIPLA,513.0,514.9,508.05,512.8,512.4,20.760233918128506
CLEDUCATE,117.45,123.5,115.05,116.2,117.45,0.0
CLNINDIA,414.0,415.4,410.0,410.55,413.25,49.27113702623907
CMICABLES,181.85,181.85,169.0,170.55,179.65,67.26094003241494
CMMIPL,11.4,11.4,11.4,11.4,11.7,0.0
CNOVAPETRO,22.4,22.4,21.05,21.5,22.25,0.0
COALINDIA,234.1,237.7,233.75,236.5,235.0,14.563106796116486
COCHINSHIP,368.5,370.1,366.7,369.0,368.5,0.0
COFFEEDAY,273.05,273.75,267.3,269.85,272.3,24.152542372881513
COLPAL,1314.05,1328.3,1308.1,1310.1,1314.25,43.8532110091742
COMPINFO,22.4,22.5,21.6,21.95,21.9,0.0
COMPUSOFT,10.9,11.0,10.75,10.8,10.9,0.0
CONCOR,670.7,681.85,668.2,678.05,670.0,58.47176079734217
CONSOFINVT,44.2,49.0,43.0,48.5,47.5,0.0
CONTROLPR,311.6,315.05,306.0,307.45,307.1,83.58974358974393
CORALFINAC,15.35,15.65,15.15,15.25,15.65,0.0
CORDSCABLE,61.25,64.6,61.25,63.45,62.6,0.0
COROMANDEL,449.3,472.0,449.3,469.55,451.15,89.65517241379311
CORPBANK,28.85,29.35,28.65,29.05,28.6,0.0
COSMOFILMS,217.5,220.05,212.7,215.1,213.0,46.73913043478265
COUNCODOS,2.4,2.45,2.4,2.4,2.5,0.0
COX&KINGS,169.0,171.85,165.35,171.2,169.65,69.87341772151895
CPSEETF,23.1,24.05,23.1,24.01,23.77,0.0
CREATIVE,112.5,112.5,112.5,112.5,111.0,0.0
CREATIVEYE,2.8,2.8,2.8,2.8,2.8,0.0
CREDITACC,383.45,386.5,381.3,385.5,381.05,68.23204419889507
CREST,143.75,146.3,142.25,143.7,144.95,67.74193548387092
CRISIL,1639.75,1639.75,1608.9,1626.4,1638.0,71.67277167277177
CRMFGETF,3000.0,3005.0,3000.0,3002.5,2955.0,0.0
CROMPTON,227.8,231.3,223.25,225.35,228.95,53.506493506493484
CTE,41.1,45.2,41.1,45.2,41.1,57.74647887323938
CUB,194.0,196.25,192.8,195.0,192.7,80.65843621399164
CUBEXTUB,14.55,14.55,14.55,14.55,15.2,0.0
CUMMINSIND,834.1,842.0,825.95,831.9,834.75,0.0
CUPID,157.8,158.8,155.05,157.4,156.4,20.588235294117695
CURATECH,1.15,1.15,1.15,1.15,1.2,0.0
CYBERMEDIA,8.8,8.8,8.8,8.8,8.8,0.0
CYBERTECH,42.55,42.85,41.95,42.5,42.05,0.0
CYIENT,618.05,619.8,604.05,609.0,621.35,38.39662447257386
DAAWAT,42.15,43.4,41.65,42.25,42.65,52.272727272727224
